source_name,source_url,collected_at,location,service_type,route_context,vehicle_or_service_category,price,currency,included_distance,extra_charge_details,booking_date_context,data_type
MakeMyTrip,https://www.makemytrip.com/cabs,2026-08-20,Jaipur,Taxi,Airport to Amer Fort,Sedan,850,INR,15 km,₹15/km after included distance,current reference,public_reference
Goibibo,https://www.goibibo.com/cars,2026-08-19,Jaipur,Taxi,Airport to Amer Fort,Sedan,900,INR,15 km,₹15/km after included distance,current reference,public_reference
ixigo,https://www.ixigo.com/cabs,2026-08-18,Jaipur,Taxi,Airport to Amer Fort,Sedan,820,INR,15 km,₹14/km after included distance,current reference,public_reference
Yatra,https://www.yatra.com/cabs,2026-08-17,Jaipur,Taxi,Airport to Amer Fort,Sedan,950,INR,15 km,₹16/km after included distance,current reference,public_reference
ixigo,https://www.ixigo.com/cabs,2026-08-20,Goa,Taxi,Dabolim Airport to Calangute,Sedan,1550,INR,40 km,₹18/km after included distance,current reference,public_reference
MakeMyTrip,https://www.makemytrip.com/cabs,2026-08-19,Goa,Taxi,Dabolim Airport to Calangute,Sedan,1650,INR,40 km,₹20/km after included distance,current reference,public_reference
Goibibo,https://www.goibibo.com/cars,2026-08-19,Goa,Taxi,Dabolim Airport to Calangute,Sedan,1700,INR,40 km,₹20/km after included distance,current reference,public_reference
Yatra,https://www.yatra.com/cabs,2026-08-18,Goa,Taxi,Dabolim Airport to Calangute,Sedan,1800,INR,40 km,₹22/km after included distance,current reference,public_reference
Official Prepaid Counter,,2026-08-20,Goa,Taxi,Dabolim Airport to Calangute,Hatchback,1450,INR,40 km,None,current reference,official_rate
Official Guide Association,,2026-08-15,Jaipur,Guide,Amer Fort Tour,General Guide,600,INR,4 hours,None,current reference,official_rate
Government Tourism Portal,https://tourism.rajasthan.gov.in,2026-08-10,Jaipur,Guide,Amer Fort Tour,Certified Guide,700,INR,4 hours,None,current reference,official_rate
ixigo,https://www.ixigo.com/activities,2026-08-18,Jaipur,Guide,Amer Fort Tour,Half-Day Tour,850,INR,4 hours,Tickets excluded,current reference,public_reference
Official Guide Association,,2026-08-20,Agra,Guide,Taj Mahal Guided Tour,General Guide,750,INR,3 hours,Tickets excluded,current reference,official_rate
Government Tourism Portal,https://www.up-tourism.com,2026-08-18,Agra,Guide,Taj Mahal Guided Tour,Certified Guide,800,INR,3 hours,Tickets excluded,current reference,official_rate
ixigo,https://www.ixigo.com/activities,2026-08-19,Agra,Guide,Taj Mahal Guided Tour,Half-Day Guide,900,INR,3 hours,Tickets excluded,current reference,public_reference
Yatra,https://www.yatra.com/holidays,2026-08-17,Agra,Guide,Taj Mahal Guided Tour,Heritage Guide,950,INR,3 hours,Tickets excluded,current reference,public_reference
Official Prepaid Counter,,2026-08-20,Mumbai,Taxi,Colaba to Mumbai Airport,Hatchback,850,INR,25 km,None,current reference,official_rate
MakeMyTrip,https://www.makemytrip.com/cabs,2026-08-19,Mumbai,Taxi,Colaba to Mumbai Airport,Sedan,950,INR,25 km,₹18/km after included distance,current reference,public_reference
